Symbol
RELIANCE
TCS
HDFCBANK
HINDUNILVR
INFY
HDFC
KOTAKBANK
ICICIBANK
BAJFINANCE
BHARTIARTL
ASIANPAINT
ITC
HCLTECH
SBIN
MARUTI
WIPRO
AXISBANK
LT
DMART
ADANIGREEN
ULTRACEMCO
SUNPHARMA
BAJAJFINSV
TITAN
HDFCLIFE
ONGC
DIVISLAB
HINDZINC
BAJAJ-AUTO
POWERGRID
NTPC
ADANIPORTS
DABUR
TECHM
JSWSTEEL
SBILIFE
PIDILITIND
M&M
SHREECEM
DRREDDY
BRITANNIA
IOC
COALINDIA
BPCL
SBICARD
GODREJCP
BERGEPAINT
TATASTEEL
ICICIPRULI
EICHERMOT
ICICIGI
INDUSINDBK
INDIGO
CIPLA
BANDHANBNK
LTI
HEROMOTOCO
HDFCAMC
INDUSTOWER
NAUKRI
GRASIM
VEDL
DLF
HAVELLS
TATAMOTORS
SIEMENS
BIOCON
GAIL
TATACONSUM
HINDALCO
AUROPHARMA
ADANIENT
MOTHERSUMI
MARICO
AMBUJACEM
CADILAHC
MUTHOOTFIN
ADANITRANS
TORNTPHARM
YESBANK
LUPIN
COLPAL
MCDOWELL-N
ADANIGAS
GLAND
BOSCHLTD
PETRONET
JUBLFOOD
GODREJPROP
PGHH
UPL
IGL
NMDC
ALKEM
BAJAJHLDNG
APOLLOHOSP
WHIRLPOOL
PIIND
HINDPETRO
HONAUT
KANSAINER
IDBI
PEL
MRF
SRF
BALKRISIND
CHOLAFIN
TATACOMM
UBL
PNB
PAGEIND
SAIL
IDEA
ACC
PFC
BEL
MPHASIS
BANKBARODA
HAL
ASHOKLEY
IPCALAB
OFSS
GLAXO
MINDTREE
VOLTAS
JINDALSTEL
ASTRAL
SRTRANSFIN
VBL
RECLTD
AUBANK
GUJGASLTD
ABB
SYNGENE
LTTS
BHARATFORG
TRENT
GICRE
CONCOR
TATAPOWER
COROMANDEL
CROMPTON
3MINDIA
PFIZER
TVSMOTOR
IRCTC
NHPC
M&MFIN
AARTIIND
ZEEL
NIACL
OBEROIRLTY
IDFCFIRSTB
SUPREMEIND
ABCAPITAL
APLLTD
BATAINDIA
UNIONBANK
DALBHARAT
RELAXO
SUNDARMFIN
RUCHI
LALPATHLAB
ADANIPOWER
SANOFI
ATUL
ENDURANCE
SUNTV
LAURUSLABS
GILLETTE
EMAMILTD
L&TFH
RAMCOCEM
CANBK
AIAENG
INDIAMART
LICHSGFIN
NAM-INDIA
MFSL
IOB
NATCOPHARM
ESCORTS
DHANI
COFORGE
EXIDEIND
GMRINFRA
BANKINDIA
CUMMINSIND
AMARAJABAT
HATSUN
DIXON
POLYCAB
TORNTPOWER
TIINDIA
ISEC
JKCEMENT
SUMICHEM
RAJESHEXPO
INDHOTEL
AJANTPHARM
GODREJIND
SCHAEFFLER
MANAPPURAM
CRISIL
GLENMARK
RBLBANK
JUBILANT
FEDERALBNK
PHOENIXLTD
AAVAS
CUB
NAVINFLUOR
DEEPAKNTR
ABFRL
MAXHEALTH
ZYDUSWELL
UCOBANK
GSPL
BHEL
VINATIORGA
CASTROLIND
TATACHEM
CREDITACC
FORTIS
ITI
OIL
PERSISTENT
ALOKINDS
ASTRAZEN
SUVENPHAR
TATAELXSI
PGHL
KAJARIACER
JSWENERGY
APLAPOLLO
SUNDRMFAST
AKZOINDIA
MINDAIND
THERMAX
PRESTIGE
WABCOINDIA
MGL
GODREJAGRO
IBULHSGFIN
APOLLOTYRE
CHOLAHLDNG
TIMKEN
METROPOLIS
SOLARINDS
SJVN
BLUEDART
INDIANB
AFFLE
CHAMBLFERT
KEC
NH
TANLA
BBTC
MOTILALOFS
IIFLWAM
GRANULES
AEGISCHEM
KIOCL
TTKPRESTIG
MAHABANK
SFL
SKFINDIA
LINDEINDIA
ASTERDM
CESC
QUESS
NATIONALUM
JMFINANCIL
FINPIPE
VGUARD
EPL
HUDCO
GRINDWELL
VAIBHAVGBL
AMBER
CENTRALBK
ERIS
STAR
JBCHEPHARM
ALKYLAMINE
FINEORG
BLUESTARCO
CARBORUNIV
NLCINDIA
RATNAMANI
VAKRANGEE
PVR
JCHAC
STLTECH
SYMPHONY
AVANTIFEED
GALAXYSURF
FSL
BASF
UTIAMC
SHRIRAMCIT
BAJAJELEC
BSOFT
IEX
WELSPUNIND
UJJIVANSFB
RITES
ASAHIINDIA
BURGERKING
CANFINHOME
AARTIDRUGS
MAHINDCIE
EDELWEISS
SIS
ROUTE
FLUOROCHEM
VTL
BDL
MRPL
DCMSHRIRAM
PNBHOUSING
RADICO
EIDPARRY
WOCKPHARMA
KPRMILL
GRAPHITE
IDFC
HATHWAY
KRBL
VSTIND
INFIBEAM
FDC
HINDCOPPER
CYIENT
EIHOTEL
CDSL
CGCL
BIRLACORPN
GMMPFAUDLR
POWERINDIA
RALLIS
SUNCLAYLTD
JYOTHYLAB
DBL
VARROC
ZENSARTECH
TV18BRDCST
FINCABLES
SUZLON
NBCC
INDIACEM
CENTURYPLY
VIPIND
REDINGTON
HEIDELBERG
SUNTECK
BRIGADE
SPARC
MASFIN
TATAINVEST
HAPPSTMNDS
GODFRYPHLP
TRIDENT
RVNL
RESPONIND
GARFIBRES
ENGINERSIN
KALPATPOWR
LAXMIMACH
COCHINSHIP
ROSSARI
ELGIEQUIP
SPANDANA
THYROCARE
ORIENTELEC
IFBIND
GPPL
VMART
CENTURYTEX
KNRCON
PNCINFRA
TEAMLEASE
POLYMED
PRSMJOHNSN
CERA
MAZDOCK
CEATLTD
TATASTLBSL
IOLCP
MAHSCOOTER
IIFL
EQUITASBNK
DELTACORP
KEI
JSWHL
FRETAIL
RAIN
SOLARA
SEQUENT
INTELLECT
LUXIND
IRB
SWSOLAR
SONATSOFTW
STARCEMENT
BHARATRAS
SCI
IRCON
JUSTDIAL
BEML
JKLAKSHMI
MMTC
SOBHA
KPITTECH
NESCO
GESHIP
INDOSTAR
CAPLIPOINT
CSBBANK
CHALET
NETWORK18
MIDHANI
ADVENZYMES
IBREALEST
DCBBANK
JSL
SHILPAMED
DHANUKA
KARURVYSYA
BALRAMCHIN
GULFOILLUB
HEG
CCL
TCIEXP
NCC
GNFC
WELCORP
BORORENEW
MOIL
SUPPETRO
UJJIVAN
JSLHISAR
SUDARSCHEM
HFCL
SWANENERGY
ALLCARGO
KSCL
PRINCEPIPE
LEMONTREE
INOXLEISUR
BAJAJCON
ECLERX
TASTYBITE
ORIENTREF
BECTORFOOD
BALAMINES
GET&D
PHILIPCARB
PAISALO
DEN
MAHLOG
RCF
ESABINDIA
GSFC
ICIL
MHRIL
NIITLTD
ICRA
CGPOWER
INDOCO
ITDC
SUPRAJIT
BSE
MASTEK
ANGELBRKG
ALEMBICLTD
TCNSBRANDS
UFLEX
TATASTLLP
HEMIPROP
GAEL
LAOPALA
BOROLTD
TRITURBINE
GUJALKALI
ASHOKA
RENUKA
ASTEC
MARKSANS
DISHTV
VENKEYS
JAMNAAUTO
RUPA
SHARDACROP
JINDALSAW
BEPL
NOCIL
HUHTAMAKI
TECHNOE
HGS
EQUITAS
PILANIINVS
RAYMOND
KSB
SUBROS
NILKAMAL
POLYPLEX
GRSE
VESUVIUS
ATFL
BALMLAWRIE
JPPOWER
SHOPERSTOP
DCAL
AGCNET
JTEKTINDIA
MAHSEAMLES
FACT
PRAJIND
DFMFOODS
MEGH
BLISSGVS
PRIVISCL
MATRIMONY
INGERRAND
HCG
MINDACORP
HIKAL
SCHNEIDER
PURVA
JINDALPOLY
SURYAROSNI
GREAVESCOT
TATACOFFEE
RAMCOIND
GHCL
GEPIL
TCI
NAVNETEDUL
TATAMETALI
NEWGEN
GREENLAM
MAHLIFE
OAL
KOLTEPATIL
NFL
JKTYRE
UNICHEMLAB
JKPAPER
KIRLOSENG
RAMCOSYS
NUCLEUS
VRLLOG
HSCL
DAAWAT
CHEMCON
KIRIINDUS
RELIGARE
JPASSOCIAT
KTKBANK
BANARISUG
ORIENTCEM
THOMASCOOK
AHLUCONT
TRIVENI
FLFL
PTC
SWARAJENG
IFCI
FMGOETZE
HIL
SHK
NEOGEN
JAICORPLTD
GMDCLTD
GPIL
MAITHANALL
J&KBANK
BOMDYEING
FCONSUMER
SOUTHBANK
VSTTILLERS
DEEPAKFERT
TINPLATE
SUBEXLTD
CHENNPETRO
DIAMONDYD
PFOCUS
TTML
AUTOAXLES
CARERATING
GREENPANEL
ACE
RKFORGE
EVEREADY
SAGCEM
IIFLSEC
TIDEWATER
GDL
ARVINDFASN
ORISSAMINE
GABRIEL
OMAXE
GTPL
PSPPROJECT
CAMLINFINE
INEOSSTYRO
AMRUTANJAN
PANACEABIO
REPCOHOME
SAREGAMA
HESTERBIO
RSYSTEMS
DBCORP
TVSSRICHAK
ACCELYA
GREENPLY
MAYURUNIQ
NEULANDLAB
HGINFRA
SOMANYCERA
SANDHAR
MOREPENLAB
HERITGFOOD
JETAIRWAYS
JSWISPL
HCC
INOXWIND
TVTODAY
DOLLAR
