index,date,open,high,low,close,volume
0,2017/01/10 09:39:00,2.2,2.2,2.2,2.2,300.0
1,2017/01/10 14:20:00,2.4,2.4,2.4,2.4,1000.0
2,2017/01/10 15:01:00,2.25,2.25,2.25,2.25,1063.0
3,2017/01/11 11:35:00,2.35,2.35,2.35,2.35,800.0
4,2017/01/11 11:36:00,2.35,2.35,2.35,2.35,750.0
5,2017/01/11 12:33:00,2.35,2.35,2.35,2.35,100.0
6,2017/01/11 13:22:00,2.35,2.35,2.35,2.35,870.0
7,2017/01/11 14:40:00,2.2,2.2,2.2,2.2,700.0
8,2017/01/11 14:57:00,2.35,2.35,2.35,2.35,572.0
9,2017/01/11 15:02:00,2.35,2.35,2.35,2.35,158.0
10,2017/01/12 11:34:00,2.45,2.45,2.45,2.45,500.0
11,2017/01/12 12:05:00,2.35,2.35,2.35,2.35,1000.0
12,2017/01/12 12:12:00,2.35,2.35,2.35,2.35,500.0
13,2017/01/12 12:14:00,2.35,2.35,2.35,2.35,500.0
14,2017/01/12 13:54:00,2.3,2.3,2.3,2.3,500.0
15,2017/01/13 10:26:00,2.2,2.2,2.2,2.2,321.0
16,2017/01/13 10:38:00,2.2,2.2,2.2,2.2,350.0
17,2017/01/13 12:21:00,2.2,2.2,2.2,2.2,100.0
18,2017/01/13 13:26:00,2.3,2.3,2.3,2.3,200.0
19,2017/01/13 13:45:00,2.25,2.25,2.25,2.25,150.0
20,2017/01/13 14:58:00,2.3,2.3,2.3,2.3,1079.0
21,2017/01/13 15:12:00,2.2,2.2,2.2,2.2,221.0
22,2017/01/16 09:56:00,2.1,2.1,2.1,2.1,500.0
23,2017/01/17 09:38:00,2.1,2.1,2.1,2.1,210.0
24,2017/01/17 10:27:00,2.15,2.15,2.15,2.15,200.0
25,2017/01/17 15:04:00,2.15,2.15,2.15,2.15,250.0
26,2017/01/18 09:07:00,2.15,2.15,2.15,2.15,839.0
27,2017/01/18 09:33:00,2.15,2.15,2.15,2.15,106.0
28,2017/01/18 11:40:00,2.15,2.15,2.15,2.15,75.0
29,2017/01/18 12:01:00,2.15,2.15,2.15,2.15,1000.0
